geoid_co,tech_employment_all_estimate,share_tech,name,name_co
21025,65,0.01481650330522,White,"Breathitt County, KY"
21027,119,0.0150651981263451,White,"Breckinridge County, KY"
21033,73,0.0133308984660336,White,"Caldwell County, KY"
21039,19,0.0106026785714286,White,"Carlisle County, KY"
21045,4,7.2992700729927e-4,White,"Casey County, KY"
21051,36,0.00656215822092599,White,"Clay County, KY"
21053,52,0.0143290162579223,White,"Clinton County, KY"
21055,50,0.0144383482529599,White,"Crittenden County, KY"
21057,36,0.0150627615062762,White,"Cumberland County, KY"
21063,5,0.00278086763070078,White,"Elliott County, KY"
21065,28,0.00565428109854604,White,"Estill County, KY"
21069,28,0.00462351387054161,White,"Fleming County, KY"
21071,52,0.004733296923357,White,"Floyd County, KY"
21079,37,0.00489741892786234,White,"Garrard County, KY"
21085,95,0.00913110342176086,White,"Grayson County, KY"
21087,25,0.00628930817610063,White,"Green County, KY"
21095,48,0.00687383645997422,White,"Harlan County, KY"
21097,94,0.0111878124256129,White,"Harrison County, KY"
21099,109,0.0137193203272498,White,"Hart County, KY"
21115,105,0.0141796083727211,White,"Johnson County, KY"
21119,61,0.0147914645974782,White,"Knott County, KY"
21121,131,0.0143813810517071,White,"Knox County, KY"
21125,486,0.0196506550218341,White,"Laurel County, KY"
21127,62,0.0137900355871886,White,"Lawrence County, KY"
21129,59,0.0252676659528908,White,"Lee County, KY"
21131,10,0.00289017341040462,White,"Leslie County, KY"
21133,2,2.94247462115639e-4,White,"Letcher County, KY"
21135,43,0.0107473131717071,White,"Lewis County, KY"
21137,14,0.00140562248995984,White,"Lincoln County, KY"
21139,73,0.0202104097452935,White,"Livingston County, KY"
21153,6,0.00189813350205631,White,"Magoffin County, KY"
21157,70,0.00513761467889908,White,"Marshall County, KY"
21167,23,0.00234382961377764,White,"Mercer County, KY"
21169,15,0.00348108609886285,White,"Metcalfe County, KY"
21171,81,0.0164400243555916,White,"Monroe County, KY"
21173,176,0.0153617875534608,White,"Montgomery County, KY"
21175,26,0.00644361833952912,White,"Morgan County, KY"
21177,171,0.0140636565507032,White,"Muhlenberg County, KY"
21179,343,0.015421275065192,White,"Nelson County, KY"
21181,34,0.0114593865857769,White,"Nicholas County, KY"
21183,58,0.00569353097084519,White,"Ohio County, KY"
21187,43,0.00882594417077176,White,"Owen County, KY"
21193,32,0.00321091711820189,White,"Perry County, KY"
21195,317,0.0167875867182121,White,"Pike County, KY"
21197,51,0.0107776838546069,White,"Powell County, KY"
21199,175,0.00660202965254461,White,"Pulaski County, KY"
21201,0,0,White,"Robertson County, KY"
21203,89,0.0147644326476443,White,"Rockcastle County, KY"
21205,120,0.011328235627301,White,"Rowan County, KY"
21207,106,0.0150014152278517,White,"Russell County, KY"
21223,80,0.0210470928702973,White,"Trimble County, KY"
21231,83,0.0113403470419456,White,"Wayne County, KY"
21235,99,0.00744977048686884,White,"Whitley County, KY"
21237,0,0,White,"Wolfe County, KY"
22013,34,0.00778210116731518,Black,"Bienville Parish, LA"
22025,0,0,Black,"Catahoula Parish, LA"
22027,15,0.00311397135146357,Black,"Claiborne Parish, LA"
22029,24,0.00444526764215595,Black,"Concordia Parish, LA"
22035,0,0,Black,"East Carroll Parish, LA"
22041,7,0.001032296121516,Black,"Franklin Parish, LA"
22061,405,0.0190911662109927,Black,"Lincoln Parish, LA"
22065,0,0,Black,"Madison Parish, LA"
22069,148,0.0113011606597434,Black,"Natchitoches Parish, LA"
22081,6,0.00210600210600211,Black,"Red River Parish, LA"
22083,16,0.00213390237396639,Black,"Richland Parish, LA"
22097,214,0.00684559035219603,Black,"St. Landry Parish, LA"
22107,26,0.0220525869380831,Black,"Tensas Parish, LA"
